genre,general_genre
reggae,Afro-Caribbean
afrobeat,Afro-Caribbean
dancehall,Afro-Caribbean
dub,Afro-Caribbean
indie,Alternative
ska,Alternative
goth,Alternative
emo,Alternative
alt-rock,Alternative
grunge,Alternative
punk,Alternative
indie-pop,Alternative
alternative,Alternative
chill,Ambient
sleep,Ambient
ambient,Ambient
study,Ambient
new-age,Ambient
children,Children
disney,Children
kids,Children
classical,Classical
opera,Classical
honky-tonk,Country/Folk
bluegrass,Country/Folk
folk,Country/Folk
country,Country/Folk
party,Electronic/Dance
edm,Electronic/Dance
house,Electronic/Dance
drum-and-bass,Electronic/Dance
dubstep,Electronic/Dance
detroit-techno,Electronic/Dance
electronic,Electronic/Dance
idm,Electronic/Dance
hardstyle,Electronic/Dance
electro,Electronic/Dance
minimal-techno,Electronic/Dance
chicago-house,Electronic/Dance
trip-hop,Electronic/Dance
techno,Electronic/Dance
industrial,Electronic/Dance
deep-house,Electronic/Dance
dance,Electronic/Dance
progressive-house,Electronic/Dance
disco,Electronic/Dance
club,Electronic/Dance
trance,Electronic/Dance
breakbeat,Electronic/Dance
guitar,Instrumental
piano,Instrumental
funk,Jazz/Blues
jazz,Jazz/Blues
groove,Jazz/Blues
soul,Jazz/Blues
blues,Jazz/Blues
tango,Latino
salsa,Latino
samba,Latino
pagode,Latino
sertanejo,Latino
latin,Latino
latino,Latino
death-metal,Metal
metal,Metal
hardcore,Metal
grindcore,Metal
metalcore,Metal
heavy-metal,Metal
black-metal,Metal
acoustic,Other
singer-songwriter,Other
comedy,Other
show-tunes,Other
synth-pop,Pop
j-idol,Pop
happy,Pop
j-dance,Pop
cantopop,Pop
k-pop,Pop
anime,Pop
mandopop,Pop
romance,Pop
sad,Pop
j-pop,Pop
power-pop,Pop
pop-film,Pop
pop,Pop
gospel,Other
garage,Rock
psych-rock,Rock
rockabilly,Rock
rock,Rock
punk-rock,Rock
hard-rock,Rock
rock-n-roll,Rock
j-rock,Rock
hip-hop,Urban
r-n-b,Urban
reggaeton,Urban
spanish,World Music
mpb,World Music
turkish,World Music
french,World Music
world-music,World Music
forro,World Music
swedish,World Music
indian,World Music
german,World Music
british,World Music
brazil,World Music
iranian,World Music
malay,World Music
